,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Bahmni System Assessment,"Understand Bahmni system running in JSS LAN - network topology, server setup, access points, Server version",P1,Himesh,Completed,2025-01-05
,Setup Bahmni on Samanvay ,Setup same version Bahmni on Samanvay Cloud EC2 instance as done in Ganyari,P1,Himesh,Completed,2025-01-05
,Integration Service Deployment,Linux service setup on JSS server with DB configuration,P1,Himesh,Not Started,
,Integration Service Learning for Avni Bahmni integration,Integration Service Learning for Avni Bahmni integration,P1,Himesh / Nupoor,In Progress,
,DB Configuration,Database setup and configuration for integration service,P1,Himesh,Not Started,
,Integration Service Module,"Merged codebase from Ashwini repo with fixed unit tests, running in CI",P1,Himesh,Not Started,
,Makefile Commands,"Commands for logging, DB dump, restart, build, deploy operations (used via Jumpbox)",P1,Himesh,Not Started,
,Bahmni Forms Analysis,"Identify clinical data in Bahmni to sync to Avni - forms, concepts, encounter types",P1,Himesh / Nupoor,Completed,2025-01-05
,Admin Console App,"Web app for mapping concepts, encounter types, and programs between Bahmni and Avni",P1,Nupoor,Not Started,
,Integration Tech Analysis,"Analyze Bahmni-Avni form compatibility, define MainJob/ErrorJobs",P1,Himesh / Nupoor,Not Started,
,Data-fix Analysis,"Data updates needed on Avni and Bahmni systems to be capable of integration",P1,Himesh / Nupoor,Not Started,
,Mapping Configuration,"Concept, encounter type, and program mappings between Bahmni ↔ Avni",P1,Nupoor,Completed,2025-01-05
,Data Correction Endpoints,"Idempotent endpoints: delete Avni data in OpenMRS, delete OpenMRS data in Avni, force sync subject↔patient",P1,Nupoor,Not Started,
,Postman Collection,API requests for data correction endpoints with usage documentation,P1,Himesh,Not Started,
,Clinical Data Sync Verification,"Verify lab reports, X-rays, visits, discharge summaries sync from Bahmni to Avni",P1,Himesh / Nupoor,Not Started,
,Community Data Sync Verification,"Verify all clinical program data syncs from Avni to Bahmni for research",P1,Himesh / Nupoor,Not Started,
,Internal Review Complete,"Scoping document and integration plan reviewed internally",P1,Himesh / Nupoor,Not Started,
,External Review Complete,"Scoping document shared with JSS stakeholders (Gaja, Ravi, Ramna, Subhangee)",P1,Himesh / Nupoor,Not Started,
,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Comprehensive Integration Document,"Technical and operational documentation covering architecture, setup, and troubleshooting",Across Phases,Nupoor,Not Started,
,Maintenance Commands Handbook,"Quick reference guide for common operations and commands",Across Phases,Nupoor,Not Started,
,Learning & Maintenance Videos,"YouTube training videos for IT admin on system operation",Across Phases,Nupoor,Not Started,
,IT Admin Training,"Train Gajanan on system operation and Bahmni report creation using Avni data",Across Phases,Nupoor,Not Started,
,End User Training,"Train-the-trainer session for Avni field workers",Across Phases,Nupoor,Not Started,
,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Offline Report Card - Patients by Diagnosis,Mobile report showing patients categorized by diagnosis,Future,TBD,Not Started,
,Offline Report Card - Recently Discharged,Mobile report showing recently discharged patients,Future,TBD,Not Started,
,Offline Report Card - Program Enrolled,Mobile report showing patients enrolled in hospital programs,Future,TBD,Not Started,
,Offline Report Card - Recently Visited,Mobile report showing patients who recently visited hospital,Future,TBD,Not Started,
,Offline Report Card - TBD,Fifth report to be identified,Future,TBD,Not Started,
,Stock Report 1,Mobile report for stock data using nested item feature,Future,TBD,Not Started,
,Stock Report 2,Mobile report for stock data using nested item feature,Future,TBD,Not Started,
,Stock Report 3,Mobile report for stock data using nested item feature,Future,TBD,Not Started,
,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Warranty Support (2 months),"Real-time error resolution, documentation updates",Future,Nupoor,Not Started,
,Annual Maintenance Contract,Ongoing support for 52 weeks,Future,Avni Team,Not Started,
,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Cloud Infrastructure Setup,"AWS infrastructure for production Bahmni",P2,TBD,Not Started,
,Bahmni Version Upgrade,"Upgrade to latest Bahmni with Odoo updates",P2,TBD,Not Started,
,Data Migration,"Migrate production data to cloud",P2,TBD,Not Started,
,Security Hardening,"Network security, backups, monitoring",P2,TBD,Not Started,
,,,,,,
,Deliverable,Description,Milestone,Owner,Status,Completion Date
,Data Warehouse Design,"Schema design for clinical + community data",P3,TBD,Not Started,
,ETL Pipelines,"Data extraction and transformation",P3,TBD,Not Started,
,Research Dashboards,"Analytics and reporting",P3,TBD,Not Started,
,,,,,,